movie_ID,title,tconst,match_type
16297,Love Affair,tt0031593,1.0
4651,"Goodbye, Mr. Chips",tt0031385,1.0
11712,The Mikado,tt0031650,1.0
2449,The Private Lives of Elizabeth and Essex,tt0031826,1.0
9014,Stagecoach,tt0031971,1.0
1547,The Women,tt0032143,1.0
11578,Another Thin Man,tt0031047,1.0
12800,The Hunchback of Notre Dame,tt0031455,1.0
8864,Intermezzo,tt0031491,1.0
1904,Dodge City,tt0031235,1.0
7570,Made for Each Other,tt0031602,1.0
8361,Gulliver's Travels,tt0031397,1.0
4001,The Four Feathers,tt0031334,1.0
10827,Of Mice and Men,tt0031742,1.0
3369,The Little Princess,tt0031580,1.0
911,Buck Rogers,tt0032290,1.0
14262,Gunga Din,tt0031398,1.0
3987,The Roaring Twenties,tt0031867,1.0
1436,Seabiscuit: The Lost Documentary,tt0384511,3.0
8862,Roy Rogers Collection: Vol. 1,,
9857,Laurel & Hardy: Flying Deuces/Utopia,,
4973,W.C. Fields: You Can't Cheat an Honest Man,,
15656,Bela Lugosi: The Gorilla / Nabonga,,
3605,The Wizard of Oz: Collector's Edition,,
5178,Son of Frankenstein / Ghost of Frankenstein,,
1961,Port of Shadows,,
7416,Gone with the Wind: Collector's Edition,,
13149,Foreign Correspondent,tt0032484,1.0
10620,The Philadelphia Story,tt0032904,1.0
910,Santa Fe Trail,tt0033021,1.0
16052,Fantasia,tt0032455,1.0
8708,The Bank Dick,tt0032234,1.0
13378,His Girl Friday,tt0032599,1.0
15869,Broadway Melody of 1940,tt0032284,1.0
14473,Gaslight,tt0031359,1.0
10353,The Sea Hawk,tt0033028,1.0
13259,Brigham Young,tt0032281,1.0
12803,The Letter,tt0032701,1.0
1627,The Shop Around the Corner,tt0033045,1.0
17616,The Westerner,tt0033253,1.0
11111,They Drive by Night,tt0033149,1.0
3356,The Howards of Virginia,tt0032612,1.0
8143,The Mark of Zorro,tt0032762,1.0
16843,Dark Command,tt0032383,1.0
12282,Angels Over Broadway,tt0032209,1.0
8547,The Thief of Bagdad,tt0033152,1.0
952,My Favorite Wife,tt0029284,1.0
17107,The Ghost Breakers,tt0032520,1.0
4791,Pinocchio,tt0032910,1.0
7642,Rebecca,tt0032976,1.0
2165,Flash Gordon Conquers the Universe,tt0032475,1.0
9625,The Grapes of Wrath,tt0032551,1.0
8666,The Great Dictator,tt0032553,1.0
1778,Road to Singapore,tt0032993,1.0
16824,Our Town,tt0032881,1.0
2852,The Three Stooges: Nutty but Nice,,
1964,W.C. Fields: My Little Chickadee,,
10783,The Mummy's Hand / The Mummy's Tomb,,
559,Rebecca: Bonus Material,,
12204,Boris Karloff: The Ape / British Intelligence,,
9393,Go West / The Big Store,,
990,Meet John Doe,tt0033891,1.0
974,The Devil and Daniel Webster,tt0033532,1.0
8561,Adventures of Captain Marvel,tt0033317,1.0
12451,Pot o' Gold,tt0034055,1.0
8522,The Little Foxes,tt0033836,1.0
12332,Road to Zanzibar,tt0034116,1.0
3315,The Maltese Falcon,tt0033870,1.0
10186,Mr. & Mrs. Smith,tt0033922,1.0
8832,Citizen Kane,tt0033467,1.0
840,The Lady Eve,tt0033804,1.0
626,They Died with Their Boots On,tt0034277,1.0
17321,Dumbo,tt0033563,1.0
15264,Penny Serenade,tt0034012,1.0
2299,Shadow of the Thin Man,tt0034172,1.0
2292,Ziegfeld Girl,tt0034415,1.0
16715,You'll Never Get Rich,tt0034409,1.0
14778,The Shanghai Gesture,tt0034175,1.0
2311,Ball of Fire,tt0033373,1.0
467,Topper Returns,tt0034303,1.0
15814,Suspicion,tt0034248,1.0
3582,How Green Was My Valley,tt0033729,1.0
50,A Yank in the R.A.F.,tt0034405,2.0
12645,High Sierra,,
12835,James Stewart: Pot O' Gold/Made for Each Other,,
10559,Citizen Kane: Bonus Material,,
12266,Tarzan's Secret Treasure / Tarzan's New York Adventure (Double Feature),,
9535,Irene Dunne Romance Classics: Love Affair/ Penny Serenade,,
9777,The Superman Collection (Max Fleischer),,
13446,Walt Disney: On the Front Lines,,
17177,The Three Stooges: All the World's a Stooge,,
14611,Birth of the Blues / Blue Skies: Double Feature,,
5691,Deanna Durbin: It Started with Eve / Can't Help Singing,,
3719,The Best of Abbott & Costello: Vol. 1,,
13587,In Old California,tt0034889,1.0
240,Woman of the Year,tt0035567,1.0
11024,For Me and My Gal,tt0034746,1.0
1258,Wake Island,tt0035530,1.0
15974,Yankee Doodle Dandy,tt0035575,1.0
842,Reap the Wild Wind,tt0035244,1.0
4680,Road to Morocco,tt0035262,1.0
6812,This Gun for Hire,tt0035432,1.0
8572,Mrs. Miniver,tt0035093,1.0
5506,The Talk of the Town,tt0035417,1.0
12416,Sherlock Holmes and the Voice of Terror,tt0035318,1.0
5742,The Palm Beach Story,tt0035169,1.0
3773,Saboteur,tt0035279,1.0
5794,Roxie Hart,tt0035272,1.0
12182,Random Harvest,tt0035238,1.0
9576,To the Shores of Tripoli,tt0035447,1.0
9705,The Pride of the Yankees,tt0035211,1.0
9715,The Spoilers,tt0035369,1.0
12794,The Battle of Midway,tt0034498,1.0
14379,You Were Never Lovelier,tt0035583,1.0
14340,Commandos Strike at Dawn,tt0035746,1.0
7159,Sherlock Holmes and the Secret Weapon,tt0035317,1.0
17607,Jungle Book,tt0034928,2.0
1433,Casablanca: Bonus Material,,
10671,My Favorite Blonde / Star Spangled Rhythm,,
4553,The Three Caballeros,,
13057,Val Lewton: Cat People / The Curse of the Cat People,,
2525,Sullivan's Travels,,
3207,The Flying Tigers,,
15359,To Be or Not To Be,,
4884,Bambi: Platinum Edition,,
338,The Three Stooges: Three Smart Saps,,
3346,Bambi: Platinum Edition: Bonus Material,,
9962,Titanic,tt0036443,1.0
9936,Heaven Can Wait,tt0035979,1.0
10110,The Outlaw,tt0036241,1.0
11769,Forever and a Day,tt0035897,1.0
14431,Shadow of a Doubt,tt0036342,1.0
11185,My Friend Flicka,tt0036182,1.0
6189,Ghosts on the Loose,tt0035939,1.0
15332,A Lady Takes a Chance,tt0036092,1.0
11081,The More the Merrier,tt0036172,1.0
7741,Sherlock Holmes in Washington,tt0036349,1.0
5683,Sahara,tt0152267,1.0
13080,Destination Tokyo,tt0035799,1.0
13804,Bataan,tt0035664,1.0
5639,For Whom the Bell Tolls,tt0035896,1.0
2325,Lassie Come Home,tt0036098,1.0
63,Crash Dive,tt0035763,1.0
2310,The Song of Bernadette,tt0036377,1.0
16741,Guadalcanal Diary,tt0035957,1.0
1143,Phantom of the Opera,tt0036261,1.0
10450,Sherlock Holmes Faces Death,tt0036348,1.0
10416,Lady of Burlesque,tt0036094,1.0
3121,Ossessione,tt0035160,2.0
5989,Le Corbeau,tt0035753,3.0
271,Saludos Amigos,,
14177,The Three Stooges: Spook Louder,,
4892,Val Lewton: The Leopard Man / The Ghost Ship,,
1909,Hangmen Also Die,,
6787,Batman: The 1943 Serial Collection,,
15475,The Ox-Bow Incident,,
1153,On Approval,,
9171,Val Lewton: I Walked with a Zombie / The Body Snatcher,,
7601,Son of Dracula / House of Dracula,,
5216,Val Lewton: The Seventh Victim / Shadows in the Dark: The Val Lewton Legacy,,
12237,Lifeboat,tt0037017,1.0
1722,Henry V,tt0036910,1.0
15802,Laura,tt0037008,1.0
15807,Arsenic and Old Lace,tt0036613,1.0
13269,National Velvet,tt0037120,1.0
5019,The Princess and the Pirate,tt0037193,1.0
9573,House of Frankenstein,tt0036931,1.0
3701,The Fighting Seabees,tt0036824,1.0
2118,It Happened Tomorrow,tt0036962,1.0
2767,Since You Went Away,tt0037280,1.0
9106,"Murder, My Sweet",tt0037101,1.0
13686,Mr. Skeffington,tt0037094,1.0
15047,The Bridge of San Luis Rey,tt0036672,1.0
13685,Cover Girl,tt0036723,1.0
9031,Wing and a Prayer,tt0037466,1.0
13684,The Fighting Sullivans,tt0037323,1.0
12597,Once Upon a Time,tt0037150,1.0
11832,Tall in the Saddle,tt0037343,1.0
4454,To Have and Have Not,tt0037382,1.0
16156,Bluebeard,tt0036653,1.0
10254,Meet Me in St. Louis,tt0037059,1.0
6876,The Fighting Rats of Tobruk,tt0037212,3.0
5497,Memphis Belle,tt0036152,3.0
4632,Charlie Chan: Meeting at Midnight,,
12216,Ivan the Terrible,,
804,Sherlock Holmes: The Scarlet Claw,,
4305,Charlie Chan: The Secret Service,,
2865,Going My Way / Holiday Inn,,
11197,The Mummy's Ghost / The Mummy's Curse,,
9920,Superman Cartoons,,
12929,Sherlock Holmes: The Pearl of Death,,
8686,Return of the Vampire,,
777,Sherlock Holmes and the Spider Woman,,
3639,Alfred Hitchcock Shorts: Bon Voyage/ Aventure Malgache,,
10195,Charlie Chan: The Chinese Cat,,
3717,The Miracle of Morgan's Creek,,
17440,Captain Kidd,tt0037576,1.0
17468,Anchors Aweigh,tt0037514,1.0
6351,The Southerner,tt0038107,1.0
1077,Leave Her to Heaven,tt0037865,1.0
12607,Flame of Barbary Coast,tt0037702,1.0
15766,"Objective, Burma!",tt0037954,1.0
15507,State Fair,tt0038116,1.0
11818,The Bells of St. Mary's,tt0037536,1.0
4110,Dakota,tt0037627,1.0
11802,Mildred Pierce,tt0037913,1.0
3757,I Know Where I'm Going!,tt0037800,1.0
9742,The House on 92nd Street,tt0037795,1.0
5574,A Walk in the Sun,tt0038235,1.0
9017,Blood on the Sun,tt0037547,1.0
5554,They Were Expendable,tt0038160,1.0
11754,Spellbound,tt0038109,1.0
5416,Back to Bataan,tt0037522,1.0
4591,The Lost Weekend,tt0037884,1.0
10593,And Then There Were None,tt0037515,1.0
6717,Charlie Chan: The Scarlet Clue,tt0038056,3.0
15353,Sherlock Holmes: The House of Fear,tt0037794,3.0
1241,The Story of G.I. Joe,tt0038120,3.0
17732,Open City,tt0038890,3.0
16729,Sherlock Holmes: The Woman in Green,tt0038259,3.0
3366,Film Noir Collection: Scarlet Street,,
839,The Thin Man Goes Home,,
6676,Classic Mystery Movies: And Then There Were None / Cry Panic / The Bat,,
13627,Film Noir Collection: Detour,,
14636,Sherlock Holmes: In Pursuit to Algiers,,
6493,Val Lewton: Isle of the Dead / Bedlam,,
4500,Les Dames du Bois de Boulogne,,
4349,Classic Cartoon Favorites: Extreme Adventure Fun,,
4104,Charlie Chan: The Jade Mask,,
11104,Deanna Durbin: Lady on a Train,,
5863,The Three Stooges: Curly Classics,,
3166,Charlie Chan: The Shanghai Cobra,,
12348,I'll Be Seeing You,,
12651,Duel in the Sun,tt0038499,1.0
6286,I See a Dark Stranger,tt0038289,1.0
7993,Great Expectations,tt0038574,1.0
7424,The Big Sleep,tt0038355,1.0
11851,The Yearling,tt0039111,1.0
3742,Notorious,tt0038787,1.0
17331,The Razor's Edge,tt0038873,1.0
14155,The Best Years of Our Lives,tt0036868,1.0
14183,My Darling Clementine,tt0038762,1.0
8847,Black Angel,tt0038360,1.0
16249,Humoresque,tt0038622,1.0
7220,Anna and the King of Siam,tt0038303,1.0
16677,Night and Day,tt0038776,1.0
3615,Beauty and the Beast,tt0038348,1.0
6612,Gilda,tt0038559,1.0
8034,The Harvey Girls,tt0038589,1.0
13121,The Strange Love of Martha Ivers,tt0038988,1.0
3248,Make Mine Music,tt0038718,1.0
13099,The Spiral Staircase,tt0038975,1.0
5773,Angel on My Shoulder,tt0038300,1.0
612,Cloak and Dagger,tt0038417,1.0
3360,Wanted for Murder,tt0039095,1.0
397,A Night in Casablanca,tt0038777,1.0
13898,The Jolson Story,tt0038661,1.0
1074,The Postman Always Rings Twice,tt0038854,1.0
13073,It's a Wonderful Life,tt0038650,1.0
15676,Sherlock Holmes: Terror by Night,tt0039017,3.0
13253,Sherlock Holmes: Dressed to Kill,tt0038494,3.0
17059,The Killers: Criterion Collection,,
13971,The Strange Love of Martha Ivers / Kirk Douglas on Film: Double Feature,,
14372,Brief Encounter,,
10998,Murderers Are Among Us,,
5605,Children of Paradise,,
12361,Film Noir Collection: The Stranger,,
15713,Monsieur Beaucaire / Where There's Life: Double Feature,,
2994,Road to Utopia,,
7855,The Courage of Lassie,,
4116,Orson Welles: The Stranger/Orson Welles on Film,,
5619,Fright Fest: Vincent Price,,
1749,Angel and the Badman,tt0039152,1.0
17382,Odd Man Out,tt0039677,1.0
16814,Pursued,tt0039737,1.0
12,My Favorite Brunette,tt0039645,1.0
6604,A Double Life,tt0039335,1.0
17535,The Bachelor and the Bobby-Soxer,tt0039169,1.0
17389,Black Narcissus,tt0039192,1.0
16911,The Bishop's Wife,tt0039190,1.0
11000,Possessed,tt0039725,1.0
8910,Lured,tt0039589,1.0
15668,The Paradine Case,tt0039694,1.0
8308,Fun and Fancy Free,tt0039404,1.0
14278,Dark Passage,tt0039302,1.0
4536,Road to Rio,tt0039776,1.0
16474,The Perils of Pauline,tt0039698,1.0
17623,Crossfire,tt0039286,1.0
17619,Out of the Past,tt0039689,1.0
16127,Good News,tt0039431,1.0
5211,New Orleans,tt0039655,1.0
7006,Body and Soul,tt0039204,1.0
1940,Nightmare Alley,tt0039661,1.0
5079,Copacabana,tt0039277,1.0
16214,Brute Force,tt0039224,1.0
13442,Gentleman's Agreement,tt0039416,1.0
9958,Monsieur Verdoux,tt0039631,1.0
8088,13 Rue Madeleine,tt0038279,1.0
14134,Miracle on 34th Street,tt0039628,1.0
1224,The Ghost and Mrs. Muir,tt0039420,1.0
12200,Song of the Thin Man,tt0039853,1.0
5867,Till the Clouds Roll By,tt12572678,3.0
2022,Dead Reckoning,,
7908,Quai des Orfevres,,
208,The Three Stooges: Sing a Song of Six Pants,,
15261,Railroaded,,
7970,Life With Father,,
17715,The Adventures of Ma and Pa Kettle: Vol. 1,,
4547,The Three Stooges Double Feature,,
17412,The Treasure of the Sierra Madre,tt0040897,1.0
6738,I Remember Mama,tt0040458,1.0
9061,Rope,tt0040746,1.0
13831,Unfaithfully Yours,tt0040919,1.0
13076,Call Northside 777,tt0040202,1.0
7368,Easter Parade,tt0040308,1.0
12460,Portrait of Jennie,tt0040705,1.0
261,The Big Clock,tt0040160,1.0
11930,The Boy with Green Hair,tt0040185,1.0
16986,Oliver Twist,tt0040662,1.0
6143,Louisiana Story,tt0040550,1.0
4603,On Our Merry Way,tt0040664,1.0
4607,Melody Time,tt0040580,1.0
10077,The Snake Pit,tt0040806,1.0
7274,Joan of Arc,tt0040491,1.0
4722,He Walked by Night,tt0040427,1.0
12884,"Sorry, Wrong Number",tt0040823,1.0
11770,The Naked City,tt0040636,1.0
13546,Mr. Blandings Builds His Dream House,tt0040613,1.0
14704,The Red Shoes,tt0040725,1.0
10924,The Street with No Name,tt0040843,1.0
9954,Key Largo,tt0040506,1.0
